game,note_user
007 Legends,5.0
0RBITALIS,3.0
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),3.2
10 Second Ninja,3.5
"10,000,000",5.0
100% Orange Juice,1.7777777777777777
1000 Amps,5.0
12 Labours of Hercules,3.7142857142857144
12 Labours of Hercules II The Cretan Bull,2.625
12 Labours of Hercules III Girl Power,3.0
140,4.4
15 Days,5.0
16 Bit Arena,5.0
16bit Trader,5.0
1701 A.D. Gold Edition,5.0
1701 A.D. Sunken Dragon,5.0
18 Wheels of Steel American Long Haul,5.0
1953 - KGB Unleashed,5.0
1953 NATO vs Warsaw Pact,5.0
1954 Alcatraz,5.0
1Heart,5.0
1Quest,5.0
3 Stars of Destiny,5.0
3089 -- Futuristic Action RPG,5.0
3D Mini Golf,5.0
3DMark,2.2777777777777777
3DMark 11,5.0
3DMark API Overhead feature test,5.0
3DMark Cloud Gate benchmark,5.0
3DMark Fire Strike benchmark,5.0
3DMark Ice Storm benchmark,5.0
3DMark Sky Diver benchmark,5.0
3DMark Vantage,5.0
3SwitcheD,5.0
4 Elements,2.75
404Sight,3.7142857142857144
500 Years Act 1,5.0
60 Seconds!,3.8
7 Days to Die,2.561224489795918
"7 Grand Steps, Step 1 What Ancients Begat",5.0
7 Wonders Ancient Alien Makeover,5.0
"7,62 High Calibre",5.0
8-Bit Adventures The Forgotten Journey Remastered Edition,5.0
8-Bit Commando,5.0
8BitBoy,1.875
8BitMMO,3.037037037037037
9 Clues 2 The Ward,5.0
9 Clues The Secret of Serpent Creek,4.25
9.03m,5.0
911 First Responders,5.0
99 Levels To Hell,1.8
99 Spirits,5.0
A Bastard's Tale,5.0
A Bird Story,3.7142857142857144
A City Sleeps,5.0
A Druid's Duel,5.0
A Farewell to Dragons,5.0
A Game of Thrones - Genesis,2.3846153846153846
A Golden Wake,5.0
A New Beginning - Final Cut,4.0
A Story About My Uncle,3.5
A Valley Without Wind,4.5
A Valley Without Wind 2,3.5
A Vampyre Story,5.0
A Virus Named TOM,2.3333333333333335
A Walk in the Dark,3.5
A Wizard's Lizard,5.0
A-Men 2,5.0
A-Train 8,5.0
A.I.M. Racing,5.0
A.I.M.2 Clan Wars,5.0
A.R.E.S.,3.0
A.R.E.S. Extinction Agenda EX,5.0
A.V.A - Alliance of Valiant Arms,3.074074074074074
ACE - Arena Cyber Evolution,2.4545454545454546
ACE COMBAT ASSAULT HORIZON Enhanced Edition,3.909090909090909
