Rank,Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,The Sims 3,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11
2,World of Warcraft,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28
3,Diablo III,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2
4,Microsoft Flight Simulator,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12
5,StarCraft II: Wings of Liberty,2010.0,Strategy,Activision,2.56,1.68,0.0,0.59,4.83
6,Warcraft II: Tides of Darkness,1995.0,Strategy,Activision,1.7,2.27,0.0,0.23,4.21
7,Half-Life,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
8,World of Warcraft: The Burning Crusade,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09
9,The Elder Scrolls V: Skyrim,2011.0,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88
10,The Sims: Unleashed,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76
11,Doom II: Hell on Earth,1994.0,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16,3.61
12,The Sims: Vacation,2002.0,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07
13,The Sims: Livin Large,2000.0,Misc,Electronic Arts,1.67,1.18,0.0,0.13,2.99
14,The Sims 4,2014.0,Simulation,Electronic Arts,0.96,1.72,0.0,0.29,2.97
15,Star Wars: The Old Republic,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.97
16,Command & Conquer: Red Alert,1996.0,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85
17,Myst,1994.0,Adventure,Red Orb,0.02,2.79,0.0,0.0,2.81
18,Battlefield 3,2011.0,Shooter,Electronic Arts,0.89,1.43,0.0,0.48,2.79
19,Riven: The Sequel to Myst,1997.0,Adventure,Red Orb,1.52,0.82,0.0,0.1,2.43
20,Theme Hospital,1997.0,Strategy,Electronic Arts,2.3,0.1,0.0,0.0,2.4
21,Monopoly,1994.0,Misc,Hasbro Interactive,1.49,0.81,0.0,0.1,2.39
22,Half-Life 2,2004.0,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37
23,Guild Wars 2,2012.0,Action,NCSoft,0.95,1.06,0.0,0.29,2.3
24,Tomb Raider II,1997.0,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29
25,The Sims: House Party,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16
26,SimCity 2000,1992.0,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14
27,World of Warcraft: Cataclysm,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08
28,Sim Theme Park,1998.0,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08
29,Warcraft: Orcs & Humans,1994.0,Strategy,Activision,0.89,1.08,0.0,0.11,2.08
30,Star Wars: Dark Forces,1994.0,Shooter,LucasArts,1.09,0.77,0.0,0.09,1.95
31,Who wants to be a millionaire,1999.0,Misc,Disney Interactive Studios,1.94,0.0,0.0,0.0,1.94
32,The Sims: Makin' Magic,2003.0,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92
33,World of Warcraft: Mists of Pandaria,2012.0,Role-Playing,Activision,0.84,0.76,0.0,0.23,1.83
34,The Sims: Hot Date,2001.0,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82
35,Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,0.41,0.98,0.0,0.33,1.72
36,The Sims 3: Late Night Expansion Pack,2010.0,Simulation,Electronic Arts,0.59,0.87,0.0,0.25,1.71
37,Sid Meier's Civilization V,2010.0,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.19,1.69
38,The Sims: Superstar,2003.0,Simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.68
39,StarCraft II: Heart of the Swarm,2013.0,Strategy,Activision,0.82,0.65,0.0,0.19,1.67
40,Diablo,1996.0,Role-Playing,Activision,0.01,1.58,0.0,0.0,1.59
41,Command & Conquer: Tiberian Sun,1999.0,Strategy,Westwood Studios,1.55,0.0,0.0,0.0,1.55
42,Warcraft III: The Frozen Throne,2003.0,Strategy,Activision,0.58,0.87,0.0,0.09,1.54
43,Call of Duty: Black Ops II,2012.0,Shooter,Activision,0.63,0.69,0.0,0.21,1.53
44,Football Manager 2012,2011.0,Sports,Sega,0.02,1.16,0.0,0.34,1.51
45,Final Fantasy XIV: A Realm Reborn,2010.0,Role-Playing,Square Enix,0.86,0.48,0.0,0.17,1.5
46,Anno 2070,2011.0,Strategy,Ubisoft,0.0,1.13,0.0,0.32,1.45
47,SimCity (2013),2013.0,Simulation,Electronic Arts,0.48,0.77,0.0,0.19,1.44
48,Battlefield 4,2013.0,Shooter,Electronic Arts,0.38,0.86,0.0,0.16,1.4
49,Command & Conquer: Red Alert 2,2000.0,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34
50,World of Warcraft: Wrath of the Lich King,2008.0,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32
51,The Sims 2: Nightlife,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27
52,Football Manager 2011,2010.0,Sports,Sega,0.0,1.01,0.0,0.25,1.26
53,Championship Manager 03/04,2003.0,Sports,Eidos Interactive,0.0,1.15,0.0,0.11,1.26
54,RollerCoaster Tycoon 2,2002.0,Strategy,Atari,1.19,0.05,0.0,0.0,1.25
55,Farming Simulator 2015,2014.0,Simulation,Focus Home Interactive,0.08,1.02,0.0,0.13,1.23
56,Fallout 4,2015.0,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1,1.23
57,Spore,2008.0,Strategy,Electronic Arts,0.03,1.06,0.0,0.09,1.17
58,Football Manager 2013,2012.0,Sports,Sega,0.0,0.95,0.0,0.22,1.17
59,Fallout: New Vegas,2010.0,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16
60,Worldwide Soccer Manager 2009,2008.0,Simulation,Sega,0.0,1.14,0.0,0.01,1.15
61,Call of Duty 4: Modern Warfare,2007.0,Shooter,Activision,0.0,1.12,0.0,0.03,1.15
62,Worldwide Soccer Manager 2008,2007.0,Sports,Russel,0.0,1.12,0.0,0.0,1.12
63,Empire: Total War,2009.0,Strategy,Sega,0.01,0.97,0.0,0.11,1.09
64,Grand Theft Auto V,2015.0,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08
65,Championship Manager 99/00,1999.0,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07
66,Diablo II: Lord of Destruction,2001.0,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06
67,Tomb Raider,1996.0,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03
68,Championship Manager 3,2003.0,Sports,Eidos Interactive,0.0,0.93,0.0,0.08,1.01
69,Farming Simulator 2013,2012.0,Simulation,Focus Home Interactive,0.0,0.8,0.0,0.18,0.99
70,Fallout 3,2008.0,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.99
71,Far Cry 3,2012.0,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98
72,Grand Theft Auto: San Andreas,2005.0,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98
73,Mass Effect 3,2012.0,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.13,0.97
74,The Witcher 2: Assassins of Kings,2011.0,Action,Namco Bandai Games,0.25,0.56,0.0,0.15,0.96
75,Assassin's Creed III,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.13,0.94
76,Borderlands 2,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.11,0.93
77,Assassin's Creed,2008.0,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.92
78,The Elder Scrolls Online,2014.0,Role-Playing,Bethesda Softworks,0.32,0.48,0.0,0.09,0.9
79,Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,0.01,0.79,0.0,0.09,0.89
80,Grand Theft Auto IV,2008.0,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88
81,The 7th Guest,1992.0,Adventure,Virgin Interactive,0.01,0.77,0.0,0.0,0.78
82,Portal 2,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.11,0.76
83,Assassin's Creed: Revelations,2011.0,Action,Ubisoft,0.14,0.48,0.0,0.14,0.76
84,Total War: Rome II,2013.0,Strategy,Sega,0.12,0.53,0.0,0.11,0.76
85,Crysis 2,2011.0,Action,Electronic Arts,0.16,0.45,0.0,0.13,0.74
86,Call of Duty: Ghosts,2013.0,Shooter,Activision,0.23,0.41,0.0,0.09,0.73
87,Dragon Age: Inquisition,2014.0,Role-Playing,Electronic Arts,0.32,0.34,0.0,0.07,0.73
88,XCOM: Enemy Unknown,2012.0,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72
89,Crysis,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.03,0.72
90,Battlefield: Bad Company 2,2010.0,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.71
91,Football Manager 2014,2013.0,Sports,Sega,0.0,0.6,0.0,0.1,0.71
92,Assassin's Creed IV: Black Flag,2013.0,Action,Ubisoft,0.22,0.38,0.0,0.1,0.69
93,The Sims: Medieval,2011.0,Simulation,Electronic Arts,0.27,0.32,0.0,0.1,0.69
94,Mass Effect,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.09,0.68
95,The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,0.2,0.42,0.0,0.05,0.67
96,RIFT,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67
97,BioShock Infinite,2013.0,Shooter,Take-Two Interactive,0.28,0.3,0.0,0.08,0.67
98,Command & Conquer: Red Alert 3,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67
99,The Sims 3: High-End Loft Stuff,2010.0,Simulation,Electronic Arts,0.01,0.53,0.0,0.12,0.67
100,Rocksmith 2014,2013.0,Misc,Ubisoft,0.35,0.24,0.0,0.07,0.66
101,Napoleon: Total War,2010.0,Strategy,Sega,0.02,0.52,0.0,0.12,0.66
102,Crysis 3,2013.0,Shooter,Electronic Arts,0.17,0.39,0.0,0.09,0.64
103,Dragon Age II,2011.0,Action,Electronic Arts,0.23,0.33,0.0,0.09,0.64
104,The Sims 3: Generations,2011.0,Simulation,Electronic Arts,0.4,0.23,0.0,0.0,0.63
105,Far Cry 4,2014.0,Shooter,Ubisoft,0.15,0.42,0.0,0.05,0.62
106,Tomb Raider III: Adventures of Lara Croft,1998.0,Action,Eidos Interactive,0.59,0.03,0.0,0.0,0.62
107,Dead Space,2008.0,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59
108,Assassin's Creed: Brotherhood,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59
109,Total War: Shogun 2,2011.0,Strategy,Sega,0.19,0.31,0.0,0.09,0.59
110,Deus Ex: Human Revolution,2011.0,Shooter,Square Enix,0.25,0.25,0.0,0.09,0.59
111,The Sims 3: World Adventures,2009.0,Simulation,Electronic Arts,0.02,0.18,0.0,0.39,0.58
112,Titanfall,2014.0,Shooter,Electronic Arts,0.21,0.3,0.0,0.07,0.58
113,Assassin's Creed II,2010.0,Action,Ubisoft,0.01,0.45,0.0,0.11,0.57
114,Assassin's Creed: Unity,2014.0,Action,Ubisoft,0.17,0.33,0.0,0.05,0.55
115,Star Wars Battlefront (2015),2015.0,Shooter,Electronic Arts,0.13,0.37,0.0,0.04,0.54
116,Batman: Arkham City,2011.0,Action,Warner Bros. Interactive Entertainment,0.16,0.28,0.0,0.09,0.53
117,The Sims 2: Open for Business,2006.0,Simulation,Electronic Arts,0.46,0.05,0.0,0.0,0.52
118,Dragon Age: Origins,2009.0,Role-Playing,Electronic Arts,0.0,0.46,0.0,0.06,0.51
119,StarCraft II: Legacy of the Void,2015.0,Strategy,Activision,0.18,0.29,0.0,0.04,0.51
120,Euro Truck Simulator,2008.0,Simulation,Rondomedia,0.0,0.42,0.0,0.09,0.51
121,Dishonored,2012.0,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51
122,Medal of Honor,2010.0,Shooter,Electronic Arts,0.2,0.23,0.0,0.07,0.49
123,Sniper: Art of Victory,2008.0,Shooter,City Interactive,0.0,0.45,0.0,0.03,0.49
124,Far Cry 2,2008.0,Action,Ubisoft,0.01,0.45,0.0,0.03,0.49
125,World of Warcraft: Warlords of Draenor,2014.0,Action,Activision Blizzard,0.08,0.36,0.0,0.04,0.48
126,Football Manager 2015,2014.0,Simulation,Sega,0.0,0.43,0.0,0.05,0.48
127,"Warhammer 40,000: Dawn of War II",2009.0,Strategy,THQ,0.0,0.45,0.0,0.02,0.47
128,The Sims 3: Ambitions,2010.0,Simulation,Electronic Arts,0.0,0.29,0.0,0.18,0.47
129,FIFA 12,2011.0,Sports,Electronic Arts,0.04,0.33,0.0,0.1,0.47
130,The Sims 3: Outdoor Living Stuff,2011.0,Simulation,Electronic Arts,0.0,0.38,0.0,0.09,0.47
131,Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.12,0.29,0.0,0.05,0.46
132,Watch Dogs,2014.0,Action,Ubisoft,0.14,0.26,0.0,0.05,0.45
133,FIFA 14,2013.0,Sports,Electronic Arts,0.01,0.36,0.0,0.06,0.43
134,Overwatch,2016.0,Shooter,Activision,0.22,0.18,0.0,0.04,0.43
135,Max Payne 3,2012.0,Shooter,Take-Two Interactive,0.15,0.22,0.0,0.06,0.43
136,Microsoft Flight Simulator X,2006.0,Simulation,Microsoft Game Studios,0.02,0.34,0.0,0.07,0.43
137,Tomb Raider: The Last Revelation,1998.0,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41
138,BioShock,2007.0,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41
139,Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,0.14,0.23,0.0,0.04,0.41
140,Duke Nukem Forever,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41
141,FIFA Soccer 13,2012.0,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.41
142,Mafia II,2010.0,Action,Take-Two Interactive,0.17,0.17,0.0,0.06,0.4
143,Mass Effect 2,2010.0,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.07,0.4
144,Age of Empires III,2005.0,Strategy,Microsoft Game Studios,0.0,0.32,0.0,0.07,0.39
145,Dawn of Discovery,2009.0,Simulation,Ubisoft,0.0,0.32,0.0,0.07,0.39
146,Saints Row: The Third,2011.0,Action,THQ,0.16,0.16,0.0,0.06,0.38
147,Need for Speed: Hot Pursuit,2010.0,Racing,Electronic Arts,0.12,0.2,0.0,0.06,0.38
148,Tom Clancy's The Division,2016.0,Shooter,Ubisoft,0.2,0.14,0.0,0.03,0.37
149,Rage,2011.0,Shooter,Bethesda Softworks,0.14,0.18,0.0,0.06,0.37
150,Medieval II: Total War Gold Edition,2008.0,Strategy,Sega,0.0,0.33,0.0,0.03,0.37
151,Sid Meier's Civilization: Beyond Earth,2014.0,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03,0.37
152,Need for Speed: The Run,2011.0,Action,Electronic Arts,0.09,0.21,0.0,0.07,0.37
153,Left 4 Dead 2,2009.0,Shooter,Valve Software,0.0,0.32,0.0,0.04,0.37
154,Middle-Earth: Shadow of Mordor,2014.0,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0.0,0.04,0.36
155,Company of Heroes 2,2013.0,Strategy,THQ,0.06,0.25,0.0,0.05,0.36
156,The Sims 3: Town Life Stuff,2011.0,Simulation,Electronic Arts,0.11,0.17,0.0,0.05,0.34
157,Medal of Honor: Warfighter,2012.0,Action,Electronic Arts,0.14,0.15,0.0,0.04,0.33
158,Dead Space 2,2011.0,Shooter,Electronic Arts,0.13,0.15,0.0,0.05,0.33
159,The Witcher: Enhanced Edition,2008.0,Role-Playing,Atari,0.32,0.01,0.0,0.0,0.32
160,Batman: Arkham Origins,2013.0,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.04,0.32
161,Batman: Arkham Asylum,2009.0,Action,Eidos Interactive,0.0,0.27,0.0,0.05,0.32
162,The Settlers 7: Paths to a Kingdom,2010.0,Strategy,Ubisoft,0.0,0.26,0.0,0.06,0.32
163,Fable III,2011.0,Role-Playing,Microsoft Game Studios,0.09,0.17,0.0,0.05,0.32
164,Might & Magic Heroes VI,2011.0,Role-Playing,Ubisoft,0.12,0.14,0.0,0.05,0.31
165,Football Manager 2016,2015.0,Simulation,Sega,0.0,0.29,0.0,0.02,0.31
166,Kingdoms of Amalur: Reckoning,2012.0,Role-Playing,Electronic Arts,0.14,0.13,0.0,0.04,0.31
167,1701 A.D.,2006.0,Simulation,Deep Silver,0.0,0.25,0.0,0.05,0.3
168,The Sims 2,2004.0,Simulation,Electronic Arts,0.02,0.24,0.0,0.05,0.3
169,Need for Speed: Most Wanted,2005.0,Racing,Electronic Arts,0.02,0.23,0.0,0.05,0.3
170,FIFA 15,2014.0,Sports,Electronic Arts,0.0,0.27,0.0,0.03,0.3
171,SimCity 4,2003.0,Simulation,Electronic Arts,0.01,0.24,0.0,0.05,0.3
172,World of Tanks,2011.0,Shooter,Wargaming.net,0.0,0.23,0.0,0.06,0.29
173,Borderlands: The Pre-Sequel,2014.0,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.03,0.29
174,World of Warcraft: Legion,2016.0,Role-Playing,Activision,0.14,0.12,0.0,0.02,0.29
175,RollerCoaster Tycoon 3,2004.0,Strategy,Atari,0.01,0.22,0.0,0.05,0.28
176,Mass Effect Trilogy,2012.0,Action,Electronic Arts,0.09,0.16,0.0,0.03,0.28
177,R.U.S.E.,2010.0,Strategy,Ubisoft,0.04,0.19,0.0,0.05,0.28
178,The Evil Within,2014.0,Action,Bethesda Softworks,0.09,0.16,0.0,0.02,0.27
179,Tropico 4,2011.0,Strategy,Kalypso Media,0.1,0.13,0.0,0.04,0.27
180,Need for Speed Rivals,2013.0,Racing,Electronic Arts,0.04,0.19,0.0,0.04,0.27
181,Zoo Tycoon 2: Ultimate Collection,2008.0,Strategy,Microsoft Game Studios,0.04,0.18,0.0,0.04,0.26
182,The Elder Scrolls IV: Oblivion,2006.0,Role-Playing,Take-Two Interactive,0.01,0.2,0.0,0.05,0.26
183,Silent Hunter 5: Battle of the Atlantic,2010.0,Simulation,Ubisoft,0.0,0.21,0.0,0.05,0.26
184,LEGO Star Wars III: The Clone Wars,2011.0,Action,LucasArts,0.1,0.13,0.0,0.03,0.26
185,L.A. Noire: The Complete Edition,2011.0,Adventure,Take-Two Interactive,0.08,0.13,0.0,0.04,0.25
186,Hitman: Absolution,2012.0,Action,Square Enix,0.03,0.17,0.0,0.04,0.25
187,Anno 2205,2015.0,Strategy,Ubisoft,0.02,0.22,0.0,0.01,0.25
188,Homefront,2011.0,Shooter,THQ,0.11,0.1,0.0,0.03,0.24
189,Metro 2033,2010.0,Shooter,THQ,0.0,0.19,0.0,0.05,0.24
190,Angry Birds,2011.0,Puzzle,Focus Home Interactive,0.0,0.18,0.0,0.05,0.24
191,DC Universe Online,2011.0,Role-Playing,Sony Online Entertainment,0.16,0.06,0.0,0.02,0.24
192,Total War: Attila,2015.0,Strategy,Sega,0.09,0.13,0.0,0.02,0.23
193,Call of Duty: Black Ops 3,2015.0,Shooter,Activision,0.0,0.22,0.0,0.01,0.23
194,Risen 2: Dark Waters,2012.0,Role-Playing,Deep Silver,0.0,0.19,0.0,0.04,0.23
195,Spec Ops: The Line,2012.0,Shooter,Take-Two Interactive,0.11,0.09,0.0,0.03,0.23
196,LEGO The Lord of the Rings,2012.0,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0.0,0.03,0.22
197,Tom Clancy's Rainbow Six: Siege,2015.0,Shooter,Ubisoft,0.12,0.08,0.0,0.02,0.22
198,Dead Island,2011.0,Action,Deep Silver,0.12,0.07,0.0,0.03,0.22
199,EVE Online,2003.0,Role-Playing,CCP,0.0,0.19,0.0,0.02,0.22
200,Defiance,2013.0,Shooter,Trion Worlds,0.14,0.04,0.0,0.02,0.21
201,Two Worlds II,2011.0,Role-Playing,Unknown,0.09,0.09,0.0,0.03,0.2
202,"Warhammer 40,000: Space Marine",2011.0,Shooter,THQ,0.09,0.09,0.0,0.03,0.2
203,Assassin's Creed Syndicate,2015.0,Action,Ubisoft,0.1,0.08,0.0,0.02,0.2
204,XCOM 2,2016.0,Strategy,Take-Two Interactive,0.09,0.1,0.0,0.02,0.2
205,Star Wars: Battlefront,2004.0,Shooter,LucasArts,0.06,0.12,0.0,0.02,0.2
206,Total War: Shogun 2 - Fall of the Samurai,2012.0,Strategy,Sega,0.07,0.1,0.0,0.03,0.2
207,South Park: The Stick of Truth,2014.0,Role-Playing,Ubisoft,0.07,0.1,0.0,0.02,0.2
208,Shutter Island,2009.0,Adventure,Merscom LLC,0.0,0.17,0.0,0.03,0.2
209,Metro: Last Light,2013.0,Action,Deep Silver,0.06,0.11,0.0,0.02,0.19
210,Aliens vs Predator,2010.0,Shooter,Sega,0.0,0.17,0.0,0.02,0.19
211,The Sims 4: Get Together,2015.0,Simulation,Electronic Arts,0.05,0.13,0.0,0.01,0.19
212,Supreme Commander 2,2010.0,Strategy,Square Enix,0.0,0.15,0.0,0.04,0.19
213,Tom Clancy's Splinter Cell: Blacklist,2013.0,Action,Ubisoft,0.04,0.13,0.0,0.03,0.19
214,Need for Speed: Shift 2 Unleashed,2011.0,Racing,Electronic Arts,0.05,0.11,0.0,0.03,0.19
215,Saints Row IV,2013.0,Action,Deep Silver,0.11,0.06,0.0,0.02,0.19
216,NBA 2K11,2010.0,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19
217,Arcania: Gothic 4,2010.0,Role-Playing,JoWood Productions,0.09,0.08,0.0,0.02,0.19
218,F1 2011,2011.0,Racing,Codemasters,0.0,0.15,0.0,0.04,0.19
219,Call of Duty: World at War,2008.0,Shooter,Activision,0.02,0.13,0.0,0.03,0.19
